Symbol,RoePercent,RocePercent,DebtEquityRatio,BookValuePerShare,MarketCapCr
360ONE,14.4,12.1,1.1346,242.0,48867.0
3MINDIA,30.5,40.5,0.0056,1906.0,37912.0
ABB,22.4,29.9,0.0206,441.0,157321.0
ACC,10.9,11.2,0.0089,1094.0,24551.0
ACMESOLAR,10.4,8.89,3.3006,83.5,28388.0
AIAENG,17.0,21.1,0.0018,860.0,40584.0
APLAPOLLO,25.3,31.6,0.1933,191.0,59391.0
AWL,10.7,18.3,0.1062,80.3,24450.0
AADHARHFC,15.9,11.4,0.0,173.0,20248.0
AARTIIND,7.13,6.85,0.5258,164.0,19123.0
AAVAS,13.9,9.91,0.0,477.0,10747.0
ACE,22.9,31.7,0.0337,169.0,14078.0
ACUTAAS,24.0,31.6,0.1656,202.0,25945.0
ADANIENSOL,9.44,9.65,2.5451,212.0,188567.0
ADANIENT,-3.38,5.8,1.2588,627.0,405623.0
ADANIGREEN,11.4,7.39,5.5138,121.0,217427.0
ADANIPORTS,16.4,14.1,1.0561,416.0,391673.0
ADANIPOWER,21.1,17.2,1.6587,33.7,396300.0
ATGL,14.4,15.3,0.377,44.2,71059.0
ABCAPITAL,12.0,8.72,0.0,131.0,113040.0
ABFRL,-13.6,-3.76,1.0598,47.8,6633.0
ABLBL,14.9,15.0,1.3364,11.6,10511.0
ABREL,-2.64,-4.48,0.6514,331.0,15708.0
ABSLAMC,25.2,32.2,0.0212,140.0,29169.0
CPPLUS,25.4,28.6,0.1263,159.0,41115.0
AEGISLOG,16.3,13.3,0.2364,173.0,49768.0
AEGISVOPAK,11.0,7.56,3.4104,38.7,30614.0
AFCONS,5.61,13.9,0.5331,148.0,10258.0
AFFLE,6.81,9.17,0.0011,146.0,24219.0
ALKEM,18.9,21.2,0.295,1156.0,64565.0
ARE&M,7.18,12.2,0.0501,442.0,16834.0
AMBUJACEM,8.85,5.61,0.015,240.0,102996.0
ANANDRATHI,45.3,57.5,0.0725,61.8,36330.0
ANGELONE,15.6,14.8,0.5821,67.2,26296.0
ANURAS,5.5,7.36,0.56,293.0,14160.0
APOLLOHOSP,21.2,17.4,0.6563,659.0,124992.0
APOLLOTYRE,16.7,15.7,0.5143,187.0,27925.0
ASAHIINDIA,10.7,11.8,0.5969,154.0,24620.0
ASIANPAINT,21.8,26.3,0.0992,223.0,253228.0
ASTRAL,13.8,19.2,0.0361,151.0,41063.0
ATHERENERG,-33.4,-19.8,0.2385,67.2,57675.0
AUROPHARMA,10.1,12.9,0.1062,652.0,94165.0
DMART,12.9,17.2,0.0402,375.0,254767.0
BEML,4.86,7.71,0.3435,352.0,16120.0
BLS,103.0,80.7,0.0112,2.24,11170.0
BAJAJ-AUTO,29.2,28.2,0.0042,1389.0,321520.0
BAJAJFINSV,13.2,10.6,3.4732,487.0,325619.0
BALRAMCHIN,9.54,9.28,0.4183,205.0,15423.0
BANDHANBNK,4.88,6.41,0.0,159.0,28211.0
BANKINDIA,12.4,5.93,0.0,200.0,65008.0
BATAINDIA,10.6,12.7,0.7608,124.0,9010.0
BELRISE,12.6,14.5,0.3394,58.7,22416.0
BERGEPAINT,18.2,22.9,0.1935,54.4,61145.0
BEL,27.4,36.4,0.0038,32.8,302625.0
BHARATFORG,12.0,12.6,0.8907,200.0,98630.0
BHEL,6.23,9.14,0.1981,75.1,143809.0
BPCL,28.8,25.6,1.2057,231.0,134928.0
BHARTIARTL,20.3,17.6,2.1876,245.0,1214402.0
BIKAJI,17.5,19.8,0.1433,64.1,15188.0
GROWW,28.8,37.3,0.1178,15.4,123596.0
BIOCON,1.4,3.61,0.2881,210.0,67722.0
BSOFT,14.1,21.2,0.0502,147.0,8493.0
BLUEDART,16.8,16.6,0.9034,749.0,12062.0
BLUESTARCO,17.2,21.2,0.4165,167.0,31087.0
BBTC,18.7,33.0,1.4583,1009.0,9959.0
BOSCHLTD,14.6,21.5,0.0044,5033.0,142171.0
FIRSTCRY,-2.37,0.57,0.3253,92.5,10250.0
BRIGADE,10.5,10.5,1.5119,209.0,20858.0
BRITANNIA,53.5,56.0,0.702,212.0,129226.0
MAPMYINDIA,12.0,19.1,0.0077,165.0,5388.0
CCL,18.0,15.8,0.4372,176.0,14452.0
CESC,12.0,10.9,1.3713,94.5,20558.0
CGPOWER,20.5,26.7,0.205,50.6,136592.0
CIEINDIA,11.8,14.7,0.2917,204.0,15214.0
CRISIL,24.5,32.6,0.0737,447.0,33015.0
CANBK,16.1,6.52,0.0,136.0,117882.0
CAPLIPOINT,20.6,24.6,0.1316,472.0,19465.0
CGCL,16.5,11.7,0.0,74.9,21555.0
CARTRADE,9.69,11.8,0.0505,519.0,14907.0
CEATLTD,16.1,19.2,0.6482,1247.0,14414.0
CEMPRO,27.6,32.6,0.4527,139.0,21927.0
CDSL,24.5,32.0,0.0016,93.8,29028.0
CHAMBLFERT,20.0,25.2,0.6136,260.0,17274.0
CHOICEIN,16.1,18.0,0.4582,75.0,18014.0
CHOLAHLDNG,5.12,6.25,0.0,74.5,29327.0
CIPLA,11.6,15.5,0.0451,426.0,115701.0
CLEAN,15.3,20.7,0.0013,149.0,8774.0
COCHINSHIP,12.5,16.0,0.0954,223.0,38949.0
COHANCE,7.04,8.35,0.1023,102.0,17714.0
COLPAL,82.7,108.0,0.0484,58.2,51378.0
CONCORDBIO,12.5,17.1,0.0007,193.0,16438.0
COROMANDEL,16.4,22.0,0.05,426.0,58888.0
CREDITACC,10.5,9.98,0.0,490.0,24006.0
CROMPTON,10.3,19.0,0.5749,49.4,16227.0
CYIENT,8.61,12.3,0.1653,511.0,9921.0
DLF,9.5,6.32,0.111,184.0,167851.0
DABUR,17.0,20.3,0.1148,64.4,71047.0
DALBHARAT,1.75,2.07,0.0006,420.0,35262.0
DEEPAKFERT,10.9,11.4,0.5242,542.0,18294.0
DELHIVERY,1.87,2.82,0.151,129.0,33765.0
DIVISLAB,16.5,22.0,0.0003,631.0,228223.0
DIXON,28.0,31.5,0.3199,533.0,90796.0
DRREDDY,11.2,13.0,0.1453,454.0,98049.0
EIDPARRY,7.85,17.0,0.2069,493.0,14188.0
EIHOTEL,14.5,20.7,0.1407,84.2,18933.0
EICHERMOT,24.0,30.5,0.0072,915.0,219892.0
ELECON,16.4,20.9,0.1181,103.0,10133.0
ELGIEQUIP,19.0,22.1,0.318,70.4,20103.0
